GPS location ,_GPS location _latitude,_GPS location _longitude,_GPS location _altitude,Picture 1_URL
18.721271 -69.169635 52.122196526266634 4.642482648140674,18.721271,-69.169635,52.12219653,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2Fd67d5ff3-a6ca-4632-b309-fcb0fe1969a7%2FIMG_2541-16_6_57.jpeg
18.713928 -69.165272 54.633487701416016 3.5355339059327373,18.713928,-69.165272,54.6334877,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F64f12ab1-27a8-4cab-870c-e1d5048641ed%2FIMG_2543-16_12_28.jpeg
,,,,
18.707004 -69.215609 58.00239181518555 3.5355339059327373,18.707004,-69.215609,58.00239182,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2Fa3dac2be-c347-43d4-b8f5-fef35f4975ee%2FIMG_2547-16_33_7.jpeg
18.71493 -69.21682 56.01465046592057 4.772145869204037,18.71493,-69.21682,56.01465047,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F14aaa6bc-d918-4038-a3da-030fcc8dd3de%2FIMG_2551-16_40_22.jpeg
18.728197 -69.222906 74.84656889736652 4.642676667642277,18.728197,-69.222906,74.8465689,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F70f0c5f0-aca0-44ba-92e8-7c8a9f6d416a%2FIMG_2555-16_49_33.jpeg
18.733825 -69.231137 72.7127914428711 39,18.733825,-69.231137,72.71279144,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F5b64835f-26b8-4bdf-80a5-5229d9d60c8a%2FIMG_2556-16_53_37.jpeg
18.537934 -68.701599 71.80039978027344 63.19012760573932,18.537934,-68.701599,71.80039978,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F0fa8f068-4be0-4c77-aee6-71837feb162c%2FIMG_2639-9_9_21.jpeg
18.537926 -68.701561 67.7131576538086 3.5355339059327373,18.537926,-68.701561,67.71315765,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F7b56ad6a-93c5-4258-bb8f-f86cf6532ecd%2FIMG_2643-9_48_44.jpeg
18.54653 -68.707191 73.7278669718653 4.641214581449155,18.54653,-68.707191,73.72786697,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2Feceb7099-15e0-4d27-baff-23545c83b66c%2FIMG_2647-10_11_19.jpeg
18.53558 -68.727403 74.47188568115234 3.5355339059327373,18.53558,-68.727403,74.47188568,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2Fb3de4e1a-2fcc-4567-9623-861ca663d5b1%2FIMG_2649-10_31_51.jpeg
18.775174 -69.039515 97.77902586665004 4.641743548706575,18.775174,-69.039515,97.77902587,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F0d9fbf65-d7d8-4317-b779-c81bb353d58b%2FIMG_2654-11_53_24.jpeg
18.772476 -69.038979 104.7077978393063 4.641751411071927,18.772476,-69.038979,104.7077978,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F50258f7e-0402-4381-bf77-6cdcd1268a06%2FIMG_2656-12_14_8.jpeg
18.771442 -69.036594 96.13183212280273 35,18.771442,-69.036594,96.13183212,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F7cdd9a5f-b76f-4883-9666-27c663a18f97%2FIMG_2657-12_19_44.jpeg
18.767757 -69.043026 123.33503341674805 35,18.767757,-69.043026,123.3350334,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F14a78fc9-83b2-4243-8dec-bcf99cf007fb%2FIMG_2659-12_45_2.jpeg
19.243243 -70.058458 0 2000,19.243243,-70.058458,0,https://kc.kobotoolbox.org/media/original?media_file=gmtoglia%2Fattachments%2Fca7ed4a5ef654a38b26019fcb3ba487e%2F8ff74061-babd-4bec-9cef-d7ae200a9e72%2F1000197265-10_49_52.jpg
